"","Ngày","TSLA","GOOG","AMZN","META"
"1","2015-01-02",14.620667,26.168653,15.426,78.449997
"2","2015-01-05",14.006,25.623152,15.1095,77.190002
"3","2015-01-06",14.085333,25.029282,14.7645,76.150002
"4","2015-01-07",14.063333,24.986401,14.921,76.150002
"5","2015-01-08",14.041333,25.065184,15.023,78.18
"6","2015-01-09",13.777333,24.740576,14.8465,77.739998
"7","2015-01-12",13.480667,24.56007,14.5705,76.720001
"8","2015-01-13",13.616667,24.741074,14.737,76.449997
"9","2015-01-14",12.846,24.974932,14.6635,76.279999
"10","2015-01-15",12.791333,25.020805,14.3475,74.050003
"11","2015-01-16",12.871333,25.334444,14.537,75.18
"12","2015-01-20",12.795333,25.275606,14.472,76.239998
"13","2015-01-21",13.104667,25.831081,14.8625,76.739998
"14","2015-01-22",13.441333,26.646341,15.516,77.650002
"15","2015-01-23",13.419333,26.92358,15.6195,77.830002
"16","2015-01-26",13.77,26.687229,15.483,77.5
"17","2015-01-27",13.732,25.8605,15.3375,75.779999
"18","2015-01-28",13.291333,25.430182,15.1955,76.239998
"19","2015-01-29",13.68,25.463091,15.589,78
"20","2015-01-30",13.573333,26.652824,17.7265,75.910004
"21","2015-02-02",14.062667,26.351652,18.223499,74.989998
"22","2015-02-03",14.557333,26.389547,18.1775,75.400002
"23","2015-02-04",14.57,26.066435,18.237499,75.629997
"24","2015-02-05",14.732667,26.306774,18.6945,75.610001
"25","2015-02-06",14.490667,26.477306,18.714001,74.470001
"26","2015-02-09",14.498667,26.319241,18.528,74.440002
"27","2015-02-10",14.419333,26.773493,18.65,75.190002
"28","2015-02-11",14.186667,26.725126,18.757,76.510002
"29","2015-02-12",13.525333,27.072172,18.8585,76.230003
"30","2015-02-13",13.584667,27.375341,19.091499,75.739998
"31","2015-02-17",13.623333,27.067686,18.7715,75.599998
"32","2015-02-18",13.630667,26.911116,18.668501,76.709999
"33","2015-02-19",14.114,27.069181,18.950001,79.419998
"34","2015-02-20",14.474,26.873718,19.183001,79.900002
"35","2015-02-23",13.822667,26.522682,19.007,78.839996
"36","2015-02-24",13.607333,26.73111,18.929501,78.449997
"37","2015-02-25",13.584,27.119045,19.268499,79.559998
"38","2015-02-26",13.812667,27.697954,19.24,80.410004
"39","2015-02-27",13.556,27.843555,19.007999,78.970001
"40","2015-03-02",13.155333,28.488785,19.283001,79.75
"41","2015-03-03",13.304,28.60347,19.230499,79.599998
"42","2015-03-04",13.496,28.590006,19.136,80.900002
"43","2015-03-05",13.375333,28.687738,19.3915,81.209999
"44","2015-03-06",12.925333,28.306534,19.004499,80.010002
"45","2015-03-09",12.725333,28.364626,18.927999,79.440002
"46","2015-03-10",12.688,27.67452,18.4755,77.550003
"47","2015-03-11",12.916,27.483543,18.318501,77.57
"48","2015-03-12",12.738,27.699451,18.712,78.93
"49","2015-03-13",12.578667,27.291073,18.528999,78.050003
"50","2015-03-16",13.046667,27.649588,18.6675,78.07
"51","2015-03-17",12.982,27.466591,18.596001,79.360001
"52","2015-03-18",13.380667,27.898405,18.757,80.910004
"53","2015-03-19",13.043333,27.823112,18.662001,82.75
"54","2015-03-20",13.205333,27.941286,18.9245,83.800003
"55","2015-03-23",13.308667,27.863998,18.755501,84.43
"56","2015-03-24",13.448,28.43144,18.7045,85.309998
"57","2015-03-25",12.953333,27.862753,18.548,82.919998
"58","2015-03-26",12.694,27.682499,18.3675,83.010002
"59","2015-03-27",12.333333,27.341932,18.528,83.300003
"60","2015-03-30",12.704667,27.525928,18.7295,83.199997
"61","2015-03-31",12.584667,27.32498,18.605,82.220001
"62","2015-04-01",12.506,27.053724,18.513,81.669998
"63","2015-04-02",12.733333,26.703186,18.612499,81.559998
"64","2015-04-06",13.54,26.764767,18.851999,82.440002
"65","2015-04-07",13.55,26.777481,18.720501,82.32
"66","2015-04-08",13.844667,27.006353,19.059999,82.279999
"67","2015-04-09",14.006,26.964968,19.177,82.169998
"68","2015-04-10",14.06,26.926573,19.1325,82.040001
"69","2015-04-13",13.985333,26.884687,19.118,83.010002
"70","2015-04-14",13.830667,26.44689,19.255501,83.519997
"71","2015-04-15",13.855333,26.553596,19.172501,82.709999
"72","2015-04-16",13.78,26.616922,19.302,82.309998
"73","2015-04-17",13.786,26.130758,18.778,80.779999
"74","2015-04-20",13.684667,26.695707,19.4755,83.089996
"75","2015-04-21",13.960667,26.625401,19.559,83.620003
"76","2015-04-22",14.629333,26.894411,19.49,84.629997
"77","2015-04-23",14.573333,27.275116,19.4995,82.410004
"78","2015-04-24",14.562,28.175644,22.254999,81.529999
"79","2015-04-27",15.436667,27.768499,21.927999,81.910004
"80","2015-04-28",15.365333,27.684,21.4655,80.68
"81","2015-04-29",15.496667,27.454,21.4685,80.470001
"82","2015-04-30",15.07,26.867001,21.089001,78.769997
"83","2015-05-01",15.068667,26.895,21.143499,78.989998
"84","2015-05-04",15.367333,27.039,21.152,78.809998
"85","2015-05-05",15.53,26.540001,21.0595,77.559998
"86","2015-05-06",15.362,26.211,20.955,78.099998
"87","2015-05-07",15.786667,26.535,21.344,78.43
"88","2015-05-08",15.774,26.910999,21.6845,78.510002
"89","2015-05-11",15.966,26.785,21.6425,78.010002
"90","2015-05-12",16.316,26.452,21.551001,77.459999
"91","2015-05-13",16.212,26.481001,21.3435,78.440002
"92","2015-05-14",16.273333,26.92,21.614,81.370003
"93","2015-05-15",16.589333,26.692499,21.299999,80.419998
"94","2015-05-18",16.583332,26.615,21.261999,80.879997
"95","2015-05-19",16.476,26.868,21.085501,80.629997
"96","2015-05-20",16.290001,26.963499,21.193001,80.550003
"97","2015-05-21",16.374666,27.1255,21.581499,80.480003
"98","2015-05-22",16.515333,27.005501,21.3815,80.540001
"99","2015-05-26",16.497334,26.615999,21.2735,79.330002
"100","2015-05-27",16.495333,26.9895,21.570999,80.550003
"101","2015-05-28",16.763332,26.989,21.328501,80.150002
"102","2015-05-29",16.719999,26.605499,21.4615,79.190002
"103","2015-06-01",16.629999,26.699499,21.546,80.290001
"104","2015-06-02",16.556667,26.959,21.5495,80.440002
"105","2015-06-03",16.599333,27.015499,21.8295,82.440002
"106","2015-06-04",16.394667,26.834999,21.539,82.050003
"107","2015-06-05",16.609333,26.6665,21.3475,82.139999
"108","2015-06-08",17.086,26.341499,21.174999,80.669998
"109","2015-06-09",17.066668,26.334499,21.274,80.669998
"110","2015-06-10",16.713333,26.834499,21.5385,82.160004
"111","2015-06-11",16.760668,26.730499,21.6485,81.830002
"112","2015-06-12",16.712667,26.616501,21.496,81.529999
"113","2015-06-15",16.691999,26.360001,21.1835,80.709999
"114","2015-06-16",16.874666,26.407499,21.363001,81.059998
"115","2015-06-17",17.360666,26.462999,21.390499,81.790001
"116","2015-06-18",17.459333,26.8365,21.9695,82.910004
"117","2015-06-19",17.500668,26.834499,21.746,82.510002
"118","2015-06-22",17.319332,26.9095,21.814501,84.739998
"119","2015-06-23",17.844667,27.024,22.2995,87.879997
"120","2015-06-24",17.677999,26.892,22.042,88.860001
"121","2015-06-25",17.919333,26.761499,22.004999,87.980003
"122","2015-06-26",17.806,26.584499,21.905001,88.010002
"123","2015-06-29",17.468,26.076,21.493,85.800003
"124","2015-06-30",17.884001,26.025499,21.7045,85.769997
"125","2015-07-01",17.943333,26.091999,21.869499,86.910004
"126","2015-07-02",18.667999,26.17,21.8855,87.290001
"127","2015-07-06",18.648001,26.143,21.802,87.550003
"128","2015-07-07",17.858667,26.250999,21.836,87.220001
"129","2015-07-08",16.997334,25.841499,21.485001,85.650002
"130","2015-07-09",17.194668,26.034,21.7195,85.879997
"131","2015-07-10",17.276667,26.5065,22.175501,87.949997
"132","2015-07-13",17.477333,27.327499,22.7785,90.099998
"133","2015-07-14",17.709999,28.055,23.2785,89.68
"134","2015-07-15",17.542667,28.011,23.0595,89.760002
"135","2015-07-16",17.778667,28.9925,23.774,90.849998
"136","2015-07-17",18.310667,33.6465,24.150499,94.970001
"137","2015-07-20",18.817333,33.151001,24.405001,97.910004
"138","2015-07-21",17.784666,33.115002,24.4,98.389999
"139","2015-07-22",17.858,33.105,24.4135,97.040001
"140","2015-07-23",17.813334,32.214001,24.108999,95.440002
"141","2015-07-24",17.694,31.177999,26.471001,96.949997
"142","2015-07-27",16.867332,31.363001,26.570499,94.169998
"143","2015-07-28",17.654667,31.4,26.3015,95.290001
"144","2015-07-29",17.587999,31.5965,26.450001,96.989998
"145","2015-07-30",17.785999,31.629499,26.837999,95.209999
"146","2015-07-31",17.743334,31.2805,26.807501,94.010002
"147","2015-08-03",17.332666,31.560499,26.751499,94.139999
"148","2015-08-04",17.752001,31.4625,26.594999,94.059998
"149","2015-08-05",18.008667,32.188999,26.8505,96.440002
"150","2015-08-06",16.408667,32.133999,26.473,95.120003
"151","2015-08-07",16.167334,31.764999,26.131001,94.300003
"152","2015-08-10",16.076,31.686501,26.200001,94.150002
"153","2015-08-11",15.824667,33.039001,26.372999,93.620003
"154","2015-08-12",15.878,32.978001,26.2955,94.190002
"155","2015-08-13",16.167334,32.822498,26.483,93.43
"156","2015-08-14",16.209999,32.855999,26.576,94.419998
"157","2015-08-17",16.999332,33.043499,26.761,93.93
"158","2015-08-18",17.381332,32.806499,26.750999,95.169998
"159","2015-08-19",17.016666,33.044998,26.646,95.309998
"160","2015-08-20",16.145332,32.341499,25.789,90.559998
"161","2015-08-21",15.384667,30.624001,24.723499,86.059998
"162","2015-08-24",14.591333,29.480499,23.168501,82.089996
"163","2015-08-25",14.668667,29.103001,23.318501,83
"164","2015-08-26",14.989333,31.431,25.0385,87.190002
"165","2015-08-27",16.199333,31.880501,25.918501,89.730003
"166","2015-08-28",16.565332,31.518999,25.900499,91.010002
"167","2015-08-31",16.604,30.9125,25.644501,89.43
"168","2015-09-01",15.908667,29.8895,24.827,87.230003
"169","2015-09-02",16.512667,30.716999,25.5275,89.889999
"170","2015-09-03",16.371332,30.3125,25.236,88.150002
"171","2015-09-04",16.128668,30.035,24.950001,88.260002
"172","2015-09-08",16.544666,30.733,25.877001,89.529999
"173","2015-09-09",16.594,30.636,25.8445,90.440002
"174","2015-09-10",16.565332,31.067499,26.112,91.980003
"175","2015-09-11",16.682667,31.2885,26.472,92.050003
"176","2015-09-14",16.879333,31.162001,26.069,92.309998
"177","2015-09-15",16.904667,31.757,26.1185,92.900002
"178","2015-09-16",17.483334,31.799,26.369499,93.449997
"179","2015-09-17",17.471333,32.145,26.943501,94.339996
"180","2015-09-18",17.374666,31.4625,27.013,94.400002
"181","2015-09-21",17.613333,31.771999,27.4195,95.550003
"182","2015-09-22",17.396,31.134501,26.92,92.959999
"183","2015-09-23",17.403999,31.118,26.803499,93.970001
"184","2015-09-24",17.541332,31.290001,26.6875,94.410004
"185","2015-09-25",17.127333,30.598499,26.2125,92.769997
"186","2015-09-28",16.562,29.744499,25.202999,89.209999
"187","2015-09-29",16.443333,29.748501,24.803499,86.669998
"188","2015-09-30",16.559999,30.421,25.5945,89.900002
"189","2015-10-01",15.992,30.564501,26.035999,90.949997
"190","2015-10-02",16.504667,31.345501,26.627001,92.07
"191","2015-10-05",16.41,32.073502,27.184,94.010002
"192","2015-10-06",16.097334,32.271999,26.874001,92.800003
"193","2015-10-07",15.464,32.118,27.097,92.400002
"194","2015-10-08",15.114667,31.958,26.658001,92.470001
"195","2015-10-09",14.712667,32.1805,26.99,93.239998
"196","2015-10-12",14.372,32.3335,27.509501,94.260002
"197","2015-10-13",14.616667,32.615002,27.445,94.120003
"198","2015-10-14",14.458667,32.557999,27.241501,94.07
"199","2015-10-15",14.754,33.087002,28.122,95.959999
"200","2015-10-16",15.134,33.110001,28.538,97.540001
"201","2015-10-19",15.206667,33.305,28.657499,98.470001
"202","2015-10-20",14.202,32.514,28.044001,97
"203","2015-10-21",14.006,32.130501,27.7885,97.110001
"204","2015-10-22",14.114667,32.5895,28.195499,99.669998
"205","2015-10-23",13.939333,35.099998,29.9515,102.190002
"206","2015-10-26",14.350667,35.639,30.4305,103.769997
"207","2015-10-27",14.023333,35.4245,30.550501,103.699997
"208","2015-10-28",14.197333,35.647499,30.855,104.199997
"209","2015-10-29",14.108667,35.846001,31.327499,104.879997
"210","2015-10-30",13.795333,35.540501,31.295,101.970001
"211","2015-11-02",14.252667,36.0555,31.4175,103.309998
"212","2015-11-03",13.89,36.108002,31.265499,102.580002
"213","2015-11-04",15.442,36.405499,32.047501,103.940002
"214","2015-11-05",15.451333,36.5625,32.782501,108.760002
"215","2015-11-06",15.490667,36.688,32.968498,107.099998
"216","2015-11-09",15.022,36.244499,32.774502,106.489998
"217","2015-11-10",14.433333,36.416,32.984001,107.910004
"218","2015-11-11",14.605333,36.77,33.662498,109.010002
"219","2015-11-12",14.196,36.561501,33.279999,108.019997
"220","2015-11-13",13.812667,35.849998,32.1175,103.949997
"221","2015-11-16",14.287333,36.448002,32.390499,104.040001
"222","2015-11-17",14.266667,36.264999,32.165001,105.129997
"223","2015-11-18",14.738,37,33.176998,107.769997
"224","2015-11-19",14.786667,36.920502,33.063499,106.260002
"225","2015-11-20",14.667333,37.830002,33.422501,107.32
"226","2015-11-23",14.516667,37.799,33.949501,106.949997
"227","2015-11-24",14.55,37.414001,33.557499,105.739998
"228","2015-11-25",15.309333,37.407501,33.766998,105.410004
"229","2015-11-27",15.440667,37.513,33.662998,105.449997
"230","2015-11-30",15.350667,37.130001,33.240002,104.239998
"231","2015-12-01",15.812667,38.352001,33.952999,107.120003
"232","2015-12-02",15.466,38.118999,33.800499,106.07
"233","2015-12-03",15.514,37.626999,33.3125,104.379997
"234","2015-12-04",15.358667,38.3405,33.632,106.18
"235","2015-12-07",15.408667,38.162498,33.491501,105.610001
"236","2015-12-08",15.114667,38.1185,33.866501,106.489998
"237","2015-12-09",14.968,37.580502,33.239498,104.599998
"238","2015-12-10",15.138,37.473,33.116001,105.419998
"239","2015-12-11",14.468,36.943501,32.0075,102.120003
"240","2015-12-14",14.572,37.3885,32.8955,104.660004
"241","2015-12-15",14.739333,37.169998,32.931999,104.550003
"242","2015-12-16",15.634,37.904499,33.788502,106.790001
